"case","algorithm","metric","unit","n","mean","sample_sd","sd_estimable","seed42","seed1337","seed2026"
"SZ_Air","PPO","reward","dimensionless","3","-631.9429412713578","6.485211721240606","True","-625.8686630568423","-631.1872807267999","-638.7728800304312"
"SZ_Air","PPO","total_cost","profile currency","3","5.208678060736639","0.07867324013557776","True","5.126577616131963","5.216051637418959","5.283404928658994"
"SZ_Air","PPO","energy_kwh","kWh","3","56.074476126453085","1.4888774733100285","True","55.206123977772044","55.22365043428088","57.79365396730633"
"SZ_Air","PPO","discomfort_zone_hours","zone-h","3","7.416666666666667","5.575242894559244","True","13.75","3.25","5.25"
"SZ_Air","PPO","discomfort_pmv_hours","PMV-h","3","0.15250000000000014","0.12417225938187654","True","0.29500000000000026","0.06750000000000006","0.09500000000000008"
"SZ_Air","PPO","occupied_peak_absolute_pmv","PMV","3","0.5466666666666667","0.011547005383792526","True","0.56","0.54","0.54"
"SZ_Air","PPO","total_variation_c","°C","3","101.55057764301698","28.439840376301767","True","120.88836193084717","114.86781381070614","68.89555718749762"
"SZ_Air","PPO","direction_reversals","count","3","99","11.135528725660043","True","111","89","97"
"SZ_Air","PPO","occupied_comfort_band_crossings","count","3","12","6.928203230275509","True","20","8","8"
"MZ_Hydro","PPO","reward","dimensionless","3","-304.4568240047651","12.552821714384622","True","-296.26706788424224","-318.90878920417407","-298.1946149258791"
"MZ_Hydro","PPO","total_cost","profile currency","3","201.73594132292067","8.35823642568653","True","196.3615443959016","211.36554638650838","197.480733186352"
"MZ_Hydro","PPO","energy_kwh","kWh","3","1308.9707491378174","54.21618923017072","True","1274.2417244380306","1371.444199706127","1281.2263232692949"
"MZ_Hydro","PPO","discomfort_zone_hours","zone-h","3","0.0","0.0","True","0.0","0.0","0.0"
"MZ_Hydro","PPO","discomfort_pmv_hours","PMV-h","3","0.0","0.0","True","0.0","0.0","0.0"
"MZ_Hydro","PPO","occupied_peak_absolute_pmv","PMV","3","0.42333333333333334","0.05131601439446883","True","0.38","0.48","0.41"
"MZ_Hydro","PPO","total_variation_c","°C","3","201.038416440133","14.186146606277482","True","186.44148080027662","201.8991938373074","214.774574682815"
"MZ_Hydro","PPO","direction_reversals","count","3","295.6666666666667","5.131601439446884","True","300","297","290"
"MZ_Hydro","PPO","occupied_comfort_band_crossings","count","3","0","0.0","True","0","0","0"
"MZ_Hydro","MAPPO","reward","dimensionless","3","-244.58074357715958","18.94752836151248","True","-228.47931396243956","-239.8030990084348","-265.4598177606044"
"MZ_Hydro","MAPPO","total_cost","profile currency","3","156.74264777974204","11.334015231119498","True","146.95583279036245","154.11119045624474","169.16092009261894"
"MZ_Hydro","MAPPO","energy_kwh","kWh","3","1018.4761156006675","74.50448908487827","True","954.1814396837977","1001.1202730516111","1100.1266340665936"
"MZ_Hydro","MAPPO","discomfort_zone_hours","zone-h","3","0.6666666666666666","0.9464847243000456","True","1.75","0.25","0.0"
"MZ_Hydro","MAPPO","discomfort_pmv_hours","PMV-h","3","0.02","0.032499999999999994","True","0.057499999999999996","0.0025000000000000022","0.0"
"MZ_Hydro","MAPPO","occupied_peak_absolute_pmv","PMV","3","0.5133333333333333","0.0650640709864771","True","0.58","0.51","0.45"
"MZ_Hydro","MAPPO","total_variation_c","°C","3","1020.0061574906189","287.29247981655135","True","759.4287030311534","972.4986203340814","1328.0911491066217"
"MZ_Hydro","MAPPO","direction_reversals","count","3","350.6666666666667","54.04936015655813","True","330","310","412"
"MZ_Hydro","MAPPO","occupied_comfort_band_crossings","count","3","2.6666666666666665","3.7859388972001824","True","7","1","0"
"MZ_Air","PPO","reward","dimensionless","3","-607.4614256640513","9.95114947002343","True","-597.7218936881186","-607.050896826718","-617.6114864773173"
"MZ_Air","PPO","total_cost","profile currency","3","149.94069393936877","1.9592455535608213","True","148.69940730390738","152.19933870875224","148.92333580544673"
"MZ_Air","PPO","energy_kwh","kWh","3","1406.7548638460269","6.047270986327291","True","1404.209876972206","1413.6586775314345","1402.3960370344398"
"MZ_Air","PPO","discomfort_zone_hours","zone-h","3","55.583333333333336","5.3870987862979955","True","56.0","50.0","60.75"
"MZ_Air","PPO","discomfort_pmv_hours","PMV-h","3","3.449999999999998","0.6378234473582792","True","3.334999999999998","2.877499999999998","4.1374999999999975"
"MZ_Air","PPO","occupied_peak_absolute_pmv","PMV","3","0.7","0.0519615242270663","True","0.64","0.73","0.73"
"MZ_Air","PPO","total_variation_c","°C","3","673.2175244949758","30.009635045078042","True","664.2637820541859","706.6849298216403","648.7038616091013"
"MZ_Air","PPO","direction_reversals","count","3","99.33333333333333","8.32666399786453","True","102","106","90"
"MZ_Air","PPO","occupied_comfort_band_crossings","count","3","74","3.4641016151377544","True","72","72","78"
"MZ_Air","MAPPO","reward","dimensionless","3","-609.1378292908165","22.29770030731901","True","-631.0673424658174","-609.8568125979565","-586.4893328086757"
"MZ_Air","MAPPO","total_cost","profile currency","3","147.8065603275037","7.607023734574948","True","139.38641850227512","149.85036282861765","154.18289965161827"
"MZ_Air","MAPPO","energy_kwh","kWh","3","1508.9700433954886","63.85641571003049","True","1436.5509969512377","1533.169024939101","1557.1901082961272"
"MZ_Air","MAPPO","discomfort_zone_hours","zone-h","3","36.25","28.76304052077944","True","64.5","37.25","7.0"
"MZ_Air","MAPPO","discomfort_pmv_hours","PMV-h","3","2.708333333333334","2.555730489181779","True","5.335000000000001","2.5600000000000005","0.23000000000000012"
"MZ_Air","MAPPO","occupied_peak_absolute_pmv","PMV","3","0.69","0.0818535277187245","True","0.71","0.76","0.6"
"MZ_Air","MAPPO","total_variation_c","°C","3","1734.6065350459928","232.94440139420192","True","1985.230777162942","1524.7148000821471","1693.874027892889"
"MZ_Air","MAPPO","direction_reversals","count","3","1496.3333333333333","97.35159646011633","True","1583","1391","1515"
"MZ_Air","MAPPO","occupied_comfort_band_crossings","count","3","57.333333333333336","34.486712417006835","True","88","64","20"
