"model_id","case","algorithm","seed","evaluation_hours","zones","source_commit","reward","total_cost","energy_kwh","discomfort_zone_hours","discomfort_pmv_hours","occupied_peak_absolute_pmv","total_variation_c","direction_reversals","occupied_comfort_band_crossings"
"mz_air_mappo_seed42","MZ_Air","MAPPO","42","168","5","3189eee7359ba3feb21781361be912b45e2b4507","-631.0673424658174","139.38641850227512","1436.5509969512377","64.5","5.335000000000001","0.71","1985.230777162942","1583","88"
"mz_air_mappo_seed1337","MZ_Air","MAPPO","1337","168","5","3189eee7359ba3feb21781361be912b45e2b4507","-609.8568125979565","149.85036282861765","1533.169024939101","37.25","2.5600000000000005","0.76","1524.7148000821471","1391","64"
"mz_air_mappo_seed2026","MZ_Air","MAPPO","2026","168","5","3189eee7359ba3feb21781361be912b45e2b4507","-586.4893328086757","154.18289965161827","1557.1901082961272","7.0","0.23000000000000012","0.6","1693.874027892889","1515","20"
"mz_air_ppo_seed42","MZ_Air","PPO","42","168","5","3189eee7359ba3feb21781361be912b45e2b4507","-597.7218936881186","148.69940730390738","1404.209876972206","56.0","3.334999999999998","0.64","664.2637820541859","102","72"
"mz_air_ppo_seed1337","MZ_Air","PPO","1337","168","5","3189eee7359ba3feb21781361be912b45e2b4507","-607.050896826718","152.19933870875224","1413.6586775314345","50.0","2.877499999999998","0.73","706.6849298216403","106","72"
"mz_air_ppo_seed2026","MZ_Air","PPO","2026","168","5","3189eee7359ba3feb21781361be912b45e2b4507","-617.6114864773173","148.92333580544673","1402.3960370344398","60.75","4.1374999999999975","0.73","648.7038616091013","90","78"
"mz_hydro_mappo_seed42","MZ_Hydro","MAPPO","42","120","2","3189eee7359ba3feb21781361be912b45e2b4507","-228.47931396243956","146.95583279036245","954.1814396837977","1.75","0.057499999999999996","0.58","759.4287030311534","330","7"
"mz_hydro_mappo_seed1337","MZ_Hydro","MAPPO","1337","120","2","3189eee7359ba3feb21781361be912b45e2b4507","-239.8030990084348","154.11119045624474","1001.1202730516111","0.25","0.0025000000000000022","0.51","972.4986203340814","310","1"
"mz_hydro_mappo_seed2026","MZ_Hydro","MAPPO","2026","120","2","3189eee7359ba3feb21781361be912b45e2b4507","-265.4598177606044","169.16092009261894","1100.1266340665936","0.0","0.0","0.45","1328.0911491066217","412","0"
"mz_hydro_ppo_seed42","MZ_Hydro","PPO","42","120","2","3189eee7359ba3feb21781361be912b45e2b4507","-296.26706788424224","196.3615443959016","1274.2417244380306","0.0","0.0","0.38","186.44148080027662","300","0"
"mz_hydro_ppo_seed1337","MZ_Hydro","PPO","1337","120","2","3189eee7359ba3feb21781361be912b45e2b4507","-318.90878920417407","211.36554638650838","1371.444199706127","0.0","0.0","0.48","201.8991938373074","297","0"
"mz_hydro_ppo_seed2026","MZ_Hydro","PPO","2026","120","2","3189eee7359ba3feb21781361be912b45e2b4507","-298.1946149258791","197.480733186352","1281.2263232692949","0.0","0.0","0.41","214.774574682815","290","0"
"sz_air_ppo_seed42","SZ_Air","PPO","42","168","1","484ad8c0bd5421521ed45158c41217e684ce080f","-625.8686630568423","5.126577616131963","55.206123977772044","13.75","0.29500000000000026","0.56","120.88836193084717","111","20"
"sz_air_ppo_seed1337","SZ_Air","PPO","1337","168","1","3189eee7359ba3feb21781361be912b45e2b4507","-631.1872807267999","5.216051637418959","55.22365043428088","3.25","0.06750000000000006","0.54","114.86781381070614","89","8"
"sz_air_ppo_seed2026","SZ_Air","PPO","2026","168","1","3189eee7359ba3feb21781361be912b45e2b4507","-638.7728800304312","5.283404928658994","57.79365396730633","5.25","0.09500000000000008","0.54","68.89555718749762","97","8"
