task,case,algorithm,seed,epoch,global_step,return,actual_best,should_stop
sz_air_ppo,SZ Air,PPO,42,25,67200,-4621.722518987518,True,False
sz_air_ppo,SZ Air,PPO,42,50,134400,-2425.1747129275536,True,False
sz_air_ppo,SZ Air,PPO,42,75,201600,-693.7040413878858,True,False
sz_air_ppo,SZ Air,PPO,42,100,268800,-649.3464146678502,True,False
sz_air_ppo,SZ Air,PPO,42,125,336000,-601.188554382478,True,False
sz_air_ppo,SZ Air,PPO,42,150,403200,-585.4127595315701,True,False
sz_air_ppo,SZ Air,PPO,42,175,470400,-573.4053504175474,True,False
sz_air_ppo,SZ Air,PPO,42,200,537600,-571.1531811447775,True,False
sz_air_ppo,SZ Air,PPO,42,225,604800,-568.8316356494437,True,False
sz_air_ppo,SZ Air,PPO,42,250,672000,-564.7505614115222,True,False
sz_air_ppo,SZ Air,PPO,42,275,739200,-559.4797966651404,True,False
sz_air_ppo,SZ Air,PPO,42,300,806400,-559.2087640668586,True,False
sz_air_ppo,SZ Air,PPO,42,325,873600,-557.1982582583171,True,False
sz_air_ppo,SZ Air,PPO,42,350,940800,-555.211146329946,True,False
sz_air_ppo,SZ Air,PPO,42,375,1008000,-552.3616807740248,True,False
sz_air_ppo,SZ Air,PPO,42,400,1075200,-549.5546714795055,True,False
sz_air_ppo,SZ Air,PPO,42,425,1142400,-548.6419236384482,True,False
sz_air_ppo,SZ Air,PPO,42,450,1209600,-550.1476595097756,False,False
sz_air_ppo,SZ Air,PPO,42,475,1276800,-547.2488202384812,True,True
sz_air_ppo,SZ Air,PPO,1337,25,67200,-5022.682344098802,True,False
sz_air_ppo,SZ Air,PPO,1337,50,134400,-3569.1946901599786,True,False
sz_air_ppo,SZ Air,PPO,1337,75,201600,-957.973184156542,True,False
sz_air_ppo,SZ Air,PPO,1337,100,268800,-632.4617355683345,True,False
sz_air_ppo,SZ Air,PPO,1337,125,336000,-604.8971507310339,True,False
sz_air_ppo,SZ Air,PPO,1337,150,403200,-576.6458084244666,True,False
sz_air_ppo,SZ Air,PPO,1337,175,470400,-568.8030225448922,True,False
sz_air_ppo,SZ Air,PPO,1337,200,537600,-565.8728366424054,True,False
sz_air_ppo,SZ Air,PPO,1337,225,604800,-568.128877606495,False,False
sz_air_ppo,SZ Air,PPO,1337,250,672000,-561.8435739998018,True,False
sz_air_ppo,SZ Air,PPO,1337,275,739200,-556.0309244597308,True,False
sz_air_ppo,SZ Air,PPO,1337,300,806400,-558.0882832752736,False,False
sz_air_ppo,SZ Air,PPO,1337,325,873600,-557.224464820982,False,False
sz_air_ppo,SZ Air,PPO,1337,350,940800,-555.5757123435219,True,True
sz_air_ppo,SZ Air,PPO,2026,25,67200,-3628.027363542802,True,False
sz_air_ppo,SZ Air,PPO,2026,50,134400,-724.2148558022866,True,False
sz_air_ppo,SZ Air,PPO,2026,75,201600,-668.5269427851118,True,False
sz_air_ppo,SZ Air,PPO,2026,100,268800,-617.2302342955892,True,False
sz_air_ppo,SZ Air,PPO,2026,125,336000,-604.8649715073892,True,False
sz_air_ppo,SZ Air,PPO,2026,150,403200,-591.7693161568359,True,False
sz_air_ppo,SZ Air,PPO,2026,175,470400,-586.7505995298197,True,False
sz_air_ppo,SZ Air,PPO,2026,200,537600,-578.2265136288132,True,False
sz_air_ppo,SZ Air,PPO,2026,225,604800,-575.3491618113585,True,False
sz_air_ppo,SZ Air,PPO,2026,250,672000,-573.5948738343179,True,False
sz_air_ppo,SZ Air,PPO,2026,275,739200,-568.4846409039949,True,False
sz_air_ppo,SZ Air,PPO,2026,300,806400,-567.406831627101,True,False
sz_air_ppo,SZ Air,PPO,2026,325,873600,-565.3790091100528,True,False
sz_air_ppo,SZ Air,PPO,2026,350,940800,-563.3389237213738,True,True
mz_hydro_ppo,MZ Hydro,PPO,42,25,48000,-585.4277593559073,True,False
mz_hydro_ppo,MZ Hydro,PPO,42,50,96000,-615.1458082736008,False,False
mz_hydro_ppo,MZ Hydro,PPO,42,75,144000,-613.9296830393896,False,False
mz_hydro_ppo,MZ Hydro,PPO,42,100,192000,-608.7326231808845,False,False
mz_hydro_ppo,MZ Hydro,PPO,42,125,240000,-609.9184500568585,False,False
mz_hydro_ppo,MZ Hydro,PPO,42,150,288000,-610.7437902924205,False,False
mz_hydro_ppo,MZ Hydro,PPO,42,175,336000,-603.3244492555601,False,True
mz_hydro_ppo,MZ Hydro,PPO,1337,25,48000,-604.9287974519739,True,False
mz_hydro_ppo,MZ Hydro,PPO,1337,50,96000,-617.318309647102,False,False
mz_hydro_ppo,MZ Hydro,PPO,1337,75,144000,-613.9262372275005,False,False
